GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	M23776	ncbigene1181;ncbigene1584;ncbigene1585;ncbigene1601;ncbigene27122;ncbigene54361;ncbigene55163;ncbigene55818;ncbigene5978;ncbigene650;ncbigene653;ncbigene654;ncbigene7086;ncbigene7167;ncbigene8566;ncbigene8912
GOBP_ARGININE_BIOSYNTHETIC_PROCESS	M34066	ncbigene1201;ncbigene162417;ncbigene435;ncbigene445;ncbigene5009
GOBP_ACUTE_PHASE_RESPONSE	M16862	ncbigene1051;ncbigene12;ncbigene1268;ncbigene130120;ncbigene1401;ncbigene1910;ncbigene197;ncbigene2;ncbigene2056;ncbigene2147;ncbigene2157;ncbigene2335;ncbigene23780;ncbigene259249;ncbigene3240;ncbigene325;ncbigene3552;ncbigene3553;ncbigene3569;ncbigene3570;ncbigene3630;ncbigene3700;ncbigene3929;ncbigene4153;ncbigene445;ncbigene5004;ncbigene5005;ncbigene50616;ncbigene5068;ncbigene5265;ncbigene5345;ncbigene5359;ncbigene54658;ncbigene5733;ncbigene5743;ncbigene57817;ncbigene59307;ncbigene6288;ncbigene6289;ncbigene6291;ncbigene7036;ncbigene7037;ncbigene7124;ncbigene7442;ncbigene8600;ncbigene8792;ncbigene9332;ncbigene9536
GOBP_AMINO_ACID_TRANSPORT	M13394	ncbigene10165;ncbigene10166;ncbigene10550;ncbigene10630;ncbigene10755;ncbigene10955;ncbigene10991;ncbigene11136;ncbigene11230;ncbigene11254;ncbigene11255;ncbigene117247;ncbigene118980;ncbigene119559;ncbigene1201;ncbigene120103;ncbigene121260;ncbigene123096;ncbigene124565;ncbigene124935;ncbigene126321;ncbigene134;ncbigene135;ncbigene140679;ncbigene145389;ncbigene146167;ncbigene1497;ncbigene151258;ncbigene152078;ncbigene153129;ncbigene153201;ncbigene153328;ncbigene157724;ncbigene18;ncbigene183;ncbigene2055;ncbigene206358;ncbigene222642;ncbigene22930;ncbigene23204;ncbigene23428;ncbigene23657;ncbigene23677;ncbigene246213;ncbigene2550;ncbigene256987;ncbigene26503;ncbigene2670;ncbigene2697;ncbigene283130;ncbigene283600;ncbigene285641;ncbigene2911;ncbigene2912;ncbigene2917;ncbigene320;ncbigene3351;ncbigene340024;ncbigene348932;ncbigene3688;ncbigene3766;ncbigene387254;ncbigene388662;ncbigene3952;ncbigene3993;ncbigene4609;ncbigene4763;ncbigene477;ncbigene4889;ncbigene4915;ncbigene4923;ncbigene4948;ncbigene5027;ncbigene54407;ncbigene54716;ncbigene54896;ncbigene54977;ncbigene55089;ncbigene551;ncbigene55117;ncbigene55144;ncbigene552;ncbigene55238;ncbigene55244;ncbigene553;ncbigene56262;ncbigene56301;ncbigene5663;ncbigene57030;ncbigene57084;ncbigene57393;ncbigene57709;ncbigene59272;ncbigene5997;ncbigene5999;ncbigene6505;ncbigene6506;ncbigene6507;ncbigene6509;ncbigene6510;ncbigene6511;ncbigene6512;ncbigene6519;ncbigene6520;ncbigene6529;ncbigene6533;ncbigene6534;ncbigene6536;ncbigene6538;ncbigene6539;ncbigene6540;ncbigene6541;ncbigene6542;ncbigene6545;ncbigene6558;ncbigene6567;ncbigene6582;ncbigene6583;ncbigene6622;ncbigene6812;ncbigene6860;ncbigene7124;ncbigene7200;ncbigene7223;ncbigene7442;ncbigene7504;ncbigene79751;ncbigene80131;ncbigene8140;ncbigene81539;ncbigene81855;ncbigene81893;ncbigene83733;ncbigene83884;ncbigene84062;ncbigene84230;ncbigene84889;ncbigene8501;ncbigene8564;ncbigene8604;ncbigene8864;ncbigene9056;ncbigene9057;ncbigene9152;ncbigene92745;ncbigene94081;ncbigene94097;ncbigene9673;ncbigene9900
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	M13091	ncbigene10437;ncbigene1636;ncbigene2207;ncbigene23457;ncbigene2923;ncbigene3077;ncbigene3105;ncbigene3106;ncbigene3107;ncbigene3133;ncbigene3134;ncbigene3135;ncbigene3136;ncbigene3140;ncbigene3416;ncbigene3551;ncbigene4012;ncbigene50856;ncbigene51128;ncbigene51752;ncbigene54842;ncbigene55080;ncbigene563;ncbigene567;ncbigene64167;ncbigene6890;ncbigene6891;ncbigene6892;ncbigene811
GOBP_ANTERIOR_HEAD_DEVELOPMENT	M24735	ncbigene1280;ncbigene1662;ncbigene3975;ncbigene5198;ncbigene653;ncbigene6662
GOBP_ASYMMETRIC_CELL_DIVISION	M12036	ncbigene10096;ncbigene10097;ncbigene10636;ncbigene10890;ncbigene2258;ncbigene259266;ncbigene2801;ncbigene3622;ncbigene387755;ncbigene5080;ncbigene5460;ncbigene56288;ncbigene6660;ncbigene7005;ncbigene7484;ncbigene7704;ncbigene85440;ncbigene9181
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	M6665	ncbigene100129128;ncbigene10016;ncbigene10017;ncbigene100506742;ncbigene10392;ncbigene10395;ncbigene10399;ncbigene10541;ncbigene112399;ncbigene1285;ncbigene1512;ncbigene1611;ncbigene2149;ncbigene2152;ncbigene22861;ncbigene22900;ncbigene23786;ncbigene23787;ncbigene26355;ncbigene27018;ncbigene27113;ncbigene29108;ncbigene29843;ncbigene3092;ncbigene317;ncbigene3329;ncbigene3336;ncbigene340485;ncbigene356;ncbigene3717;ncbigene3932;ncbigene400410;ncbigene406948;ncbigene4088;ncbigene4137;ncbigene4804;ncbigene4824;ncbigene489;ncbigene5023;ncbigene51065;ncbigene5134;ncbigene5366;ncbigene5371;ncbigene54205;ncbigene5468;ncbigene55081;ncbigene55367;ncbigene56616;ncbigene572;ncbigene578;ncbigene581;ncbigene58484;ncbigene6091;ncbigene6279;ncbigene6280;ncbigene637;ncbigene6505;ncbigene6582;ncbigene6622;ncbigene666;ncbigene7124;ncbigene7415;ncbigene7498;ncbigene7805;ncbigene79594;ncbigene80759;ncbigene834;ncbigene835;ncbigene837;ncbigene838;ncbigene841;ncbigene842;ncbigene843;ncbigene8738;ncbigene8837;ncbigene9026;ncbigene9131;ncbigene91662;ncbigene9451;ncbigene9966;ncbigene9994
GOBP_ASPARAGINE_METABOLIC_PROCESS	M34067	ncbigene440;ncbigene468;ncbigene54529;ncbigene56954;ncbigene80150
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS	M23898	ncbigene10861;ncbigene1836;ncbigene347734;ncbigene51000;ncbigene9060;ncbigene9061
GOBP_AMP_METABOLIC_PROCESS	M16810	ncbigene100;ncbigene10606;ncbigene122622;ncbigene132;ncbigene158;ncbigene159;ncbigene203;ncbigene204;ncbigene205;ncbigene221264;ncbigene2618;ncbigene270;ncbigene271;ncbigene272;ncbigene318;ncbigene3251;ncbigene353;ncbigene471;ncbigene4907;ncbigene50808;ncbigene5198;ncbigene5471;ncbigene5634;ncbigene7498;ncbigene84618
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	M23981	ncbigene10403;ncbigene1060;ncbigene1062;ncbigene11004;ncbigene283489;ncbigene3192;ncbigene51115;ncbigene79003;ncbigene81620;ncbigene81929;ncbigene83540;ncbigene8379;ncbigene8678;ncbigene91272;ncbigene9212
GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	M13056	ncbigene1113;ncbigene11214;ncbigene115;ncbigene146;ncbigene147;ncbigene148;ncbigene150;ncbigene151;ncbigene152;ncbigene153;ncbigene154;ncbigene155;ncbigene1812;ncbigene1813;ncbigene1814;ncbigene1816;ncbigene2771;ncbigene2931;ncbigene340481;ncbigene3784;ncbigene406904;ncbigene406922;ncbigene407034;ncbigene493;ncbigene5142;ncbigene5144;ncbigene5350;ncbigene57561;ncbigene5997;ncbigene64784;ncbigene83550;ncbigene92255;ncbigene9693
