BIOCARTA_VOBESITY_PATHWAY	M22017	ncbigene2908;ncbigene4023;ncbigene7124;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene9370;ncbigene56729;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene2908;ncbigene3290;ncbigene6256;ncbigene9370;ncbigene5468;ncbigene3290;ncbigene5468;ncbigene56729;ncbigene5468;ncbigene5468;ncbigene3290
BIOCARTA_IRES_PATHWAY	M22028	ncbigene1974;ncbigene1982;ncbigene1977;ncbigene1977;ncbigene1982;ncbigene1981;ncbigene1981;ncbigene8672;ncbigene8672;ncbigene8672;ncbigene1973;ncbigene1973;ncbigene1982;ncbigene1974;ncbigene1977;ncbigene8661;ncbigene8672;ncbigene1981;ncbigene1981;ncbigene1981;ncbigene1981;ncbigene1981
BIOCARTA_ARAP_PATHWAY	M2482	ncbigene1314;ncbigene375;ncbigene375;ncbigene375;ncbigene116985;ncbigene1314;ncbigene116985;ncbigene8853;ncbigene26286;ncbigene8729;ncbigene8729;ncbigene50807;ncbigene2822;ncbigene375;ncbigene1212;ncbigene8853;ncbigene8729;ncbigene9265;ncbigene9266;ncbigene1314;ncbigene9267;ncbigene10564;ncbigene10565;ncbigene1212;ncbigene27128;ncbigene26286;ncbigene116984;ncbigene116985;ncbigene9267;ncbigene9266;ncbigene55738;ncbigene50807;ncbigene55738
BIOCARTA_ETS_PATHWAY	M14449	ncbigene1435;ncbigene10014;ncbigene9612;ncbigene3265;ncbigene2113;ncbigene2117;ncbigene25942;ncbigene25942;ncbigene2113;ncbigene9612;ncbigene2114;ncbigene3066;ncbigene1874;ncbigene3725;ncbigene5933;ncbigene1436;ncbigene1869;ncbigene2113;ncbigene2114;ncbigene2117;ncbigene2353;ncbigene3265;ncbigene10014;ncbigene9612;ncbigene11218;ncbigene23309;ncbigene25942;ncbigene1435;ncbigene1435;ncbigene1435;ncbigene3265;ncbigene5933
BIOCARTA_PITX2_PATHWAY	M8516	ncbigene8295;ncbigene5308;ncbigene324;ncbigene5308;ncbigene1387;ncbigene1499;ncbigene1499;ncbigene8861;ncbigene324;ncbigene324;ncbigene51176;ncbigene51176;ncbigene2932;ncbigene51176;ncbigene5308;ncbigene5308;ncbigene5308;ncbigene10524;ncbigene8295;ncbigene2033;ncbigene1499;ncbigene2932;ncbigene8295;ncbigene8312;ncbigene8321;ncbigene8861;ncbigene1387;ncbigene1855;ncbigene5469;ncbigene3065;ncbigene7471;ncbigene10524;ncbigene51176;ncbigene5308;ncbigene5308;ncbigene8312;ncbigene10524;ncbigene10524
BIOCARTA_CHREBP_PATHWAY	M22004	ncbigene2778;ncbigene51422;ncbigene2778;ncbigene2778;ncbigene2778;ncbigene5575;ncbigene5575;ncbigene5575;ncbigene5575;ncbigene5575;ncbigene23205;ncbigene5571;ncbigene5571;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5515;ncbigene5567;ncbigene5568;ncbigene5571;ncbigene5573;ncbigene5575;ncbigene5577;ncbigene5576;ncbigene5565;ncbigene5562;ncbigene5563;ncbigene5564;ncbigene23205;ncbigene51422;ncbigene2778;ncbigene53632;ncbigene107;ncbigene51422;ncbigene51085;ncbigene51085;ncbigene51085;ncbigene51085;ncbigene116285;ncbigene2778;ncbigene2778;ncbigene5567;ncbigene5562;ncbigene5567;ncbigene5573;ncbigene5573
BIOCARTA_RACC_PATHWAY	M22002	ncbigene3785;ncbigene2778;ncbigene4846;ncbigene2977;ncbigene2982;ncbigene2983;ncbigene2778;ncbigene2778;ncbigene2778;ncbigene2982;ncbigene2982;ncbigene2982;ncbigene2982;ncbigene2982;ncbigene7222;ncbigene7223;ncbigene7223;ncbigene7223;ncbigene7223;ncbigene4846;ncbigene4846;ncbigene4846;ncbigene56479;ncbigene56479;ncbigene56479;ncbigene56479;ncbigene59341;ncbigene59341;ncbigene59341;ncbigene3786;ncbigene2977;ncbigene2982;ncbigene7222;ncbigene7223;ncbigene3785;ncbigene3786;ncbigene9132;ncbigene7224;ncbigene7223;ncbigene2778;ncbigene56479;ncbigene107;ncbigene59341;ncbigene2778;ncbigene2778;ncbigene59341;ncbigene3785;ncbigene3785;ncbigene3785;ncbigene3785;ncbigene9132;ncbigene2974
BIOCARTA_SARS_PATHWAY	M5374	ncbigene1977;ncbigene1977;ncbigene290;ncbigene1432;ncbigene2091;ncbigene1158;ncbigene1977;ncbigene2875;ncbigene4691;ncbigene1432;ncbigene1432;ncbigene1432
BIOCARTA_DICER_PATHWAY	M22079	ncbigene27161;ncbigene23405;ncbigene23405;ncbigene27161;ncbigene26523;ncbigene192670;ncbigene192669;ncbigene23405;ncbigene192669;ncbigene23405
BIOCARTA_SHH_PATHWAY	M11792	ncbigene2737;ncbigene6469;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene5727;ncbigene2932;ncbigene2735;ncbigene5575;ncbigene5575;ncbigene5575;ncbigene5575;ncbigene5575;ncbigene2735;ncbigene51684;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene5567;ncbigene1859;ncbigene2932;ncbigene5567;ncbigene5568;ncbigene5573;ncbigene5575;ncbigene5577;ncbigene5576;ncbigene9149;ncbigene2735;ncbigene2736;ncbigene6608;ncbigene9149;ncbigene9149;ncbigene51684;ncbigene1859;ncbigene1859;ncbigene1859;ncbigene5567;ncbigene5567;ncbigene5573;ncbigene5573
