STANDARD_NAME	HAY_BONE_MARROW_ERYTHROBLAST
SYSTEMATIC_NAME	M39197
CATEGORY_CODE	C8
SUB_CATEGORY_CODE	
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/HAY_BONE_MARROW_ERYTHROBLAST
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	
DESCRIPTION_FULL	
PMID	30243574
GEOID	
AUTHORS	Hay SB,Ferchen K,Chetal K,Grimes HL,Salomonis N
CONTRIBUTOR	Anthony Castanza
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	Supplementary Table E5: Gene-Associations. Global view of cells from all donors. Combined resolved progenitor and committed cell population predictions for SPRING analysis of the associated marker genes. 1-s2.0-S0301472X18308051-mmc8. Genes with Pearson rho > 0.1, Pearson p-value <0.05.
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://www.altanalyze.org/ICGS/HCA/Viewer.php
GENESET_LISTING_URL	
