0	Disease	MESH:D001145
1	Disease	MESH:D016170
2	Disease	MESH:D000219
3	Disease	MESH:D050030
4	Disease	MESH:D001146
5	Disease	MESH:D001281
6	Disease	MESH:D001282
7	Disease	MESH:D018880
8	Disease	MESH:D054537
9	Disease	MESH:D001919
10	Disease	MESH:D053840
11	Disease	MESH:D002037
12	Disease	MESH:D005117
13	Disease	MESH:D056104
14	Disease	MESH:D006327
15	Disease	MESH:D000074021
16	Disease	MESH:D029593
17	Disease	MESH:D008133
18	Disease	MESH:D008151
19	Disease	MESH:D017574
20	Disease	MESH:D011226
21	Disease	MESH:D011227
22	Disease	MESH:D029597
23	Disease	MESH:D012804
24	Disease	MESH:D012848
25	Disease	MESH:D054138
26	Disease	MESH:D013610
27	Disease	MESH:D013611
28	Disease	MESH:D013612
29	Disease	MESH:D013613
30	Disease	MESH:D013614
31	Disease	MESH:D054139
32	Disease	MESH:D013615
33	Disease	MESH:D013616
34	Disease	MESH:D013617
35	Disease	MESH:D017180
36	Disease	MESH:D016171
37	Disease	MESH:D014693
38	Disease	MESH:D054141
39	Disease	MESH:D018879
40	Disease	MESH:D014927
41	Disease	MESH:D007674
42	Disease	MESH:D016263
43	Disease	MESH:D000141
44	Disease	MESH:D058186
45	Disease	MESH:D019867
46	Disease	MESH:D001002
47	Disease	MESH:D065766
48	Disease	MESH:D053099
49	Disease	MESH:D001449
50	Disease	MESH:D001477
51	Disease	MESH:D002292
52	Disease	MESH:D059347
53	Disease	MESH:D012080
54	Disease	MESH:D000092702
55	Disease	MESH:D003555
56	Disease	MESH:D057973
57	Disease	MESH:D030321
58	Disease	MESH:D003919
59	Disease	MESH:D018500
60	Disease	MESH:D020790
61	Disease	MESH:D003928
62	Disease	MESH:D053098
63	Disease	MESH:D005198
64	Disease	MESH:D052159
65	Disease	MESH:D053579
66	Disease	MESH:D005921
67	Disease	MESH:D005922
68	Disease	MESH:D015432
69	Disease	MESH:D015433
70	Disease	MESH:D005923
71	Disease	MESH:D006030
72	Disease	MESH:D006250
73	Disease	MESH:D006463
74	Disease	MESH:D006530
75	Disease	MESH:D006869
76	Disease	MESH:D006959
77	Disease	MESH:D006960
78	Disease	MESH:D006977
79	Disease	MESH:D006978
80	Disease	MESH:D007015
81	Disease	MESH:D007669
82	Disease	MESH:D007673
83	Disease	MESH:D052177
84	Disease	MESH:D007676
85	Disease	MESH:D007680
86	Disease	MESH:D007681
87	Disease	MESH:D007683
88	Disease	MESH:D056929
89	Disease	MESH:D008181
90	Disease	MESH:D007691
91	Disease	MESH:D021782
92	Disease	MESH:D009393
93	Disease	MESH:D009394
94	Disease	MESH:D009395
95	Disease	MESH:D009397
96	Disease	MESH:D053040
97	Disease	MESH:D018201
98	Disease	MESH:D009400
99	Disease	MESH:D009401
100	Disease	MESH:D009402
101	Disease	MESH:D009404
102	Disease	MESH:D009800
103	Disease	MESH:D010501
104	Disease	MESH:D007690
105	Disease	MESH:D016891
106	Disease	MESH:D017044
107	Disease	MESH:D011546
108	Disease	MESH:D011702
109	Disease	MESH:D053653
110	Disease	MESH:D011704
111	Disease	MESH:D011705
112	Disease	MESH:D053018
113	Disease	MESH:D000608
114	Disease	MESH:D012078
115	Disease	MESH:D051437
116	Disease	MESH:D051436
117	Disease	MESH:D059228
118	Disease	MESH:D015499
119	Disease	MESH:D000069856
120	Disease	MESH:D014398
121	Disease	MESH:D014511
122	Disease	MESH:D017624
123	Disease	MESH:D009396
124	Disease	MESH:D014929
125	Disease	MESH:D015211
126	Disease	MESH:D009202
127	Disease	MESH:D000092183
128	Disease	MESH:D019571
129	Disease	MESH:D002310
130	Disease	MESH:D002311
131	Disease	MESH:D002312
132	Disease	MESH:D024741
133	Disease	MESH:D002313
134	Disease	MESH:D002598
135	Disease	MESH:D058065
136	Disease	MESH:D004695
137	Disease	MESH:D004719
138	Disease	MESH:D052120
139	Disease	MESH:D056830
140	Disease	MESH:D007625
141	Disease	MESH:D015428
142	Disease	MESH:D009205
143	Disease	MESH:D058088
144	Disease	MESH:D054549
145	Disease	MESH:D001523
146	Disease	MESH:D015526
147	Disease	MESH:D000275
148	Disease	MESH:D000341
149	Disease	MESH:D000379
150	Disease	MESH:D000425
151	Disease	MESH:D000430
152	Disease	MESH:D019973
153	Disease	MESH:D000435
154	Disease	MESH:D000076042
155	Disease	MESH:D000437
156	Disease	MESH:D020237
157	Disease	MESH:D000544
158	Disease	MESH:D000647
159	Disease	MESH:D020324
160	Disease	MESH:D000648
161	Disease	MESH:D020236
162	Disease	MESH:D019969
163	Disease	MESH:D000856
164	Disease	MESH:D000987
165	Disease	MESH:D001008
166	Disease	MESH:D001010
167	Disease	MESH:D018888
168	Disease	MESH:D020817
169	Disease	MESH:D001289
170	Disease	MESH:D019958
171	Disease	MESH:D001308
