,0,1
359,Gene,4758
360,Gene,4759
361,Gene,64772
362,Gene,13103
363,Gene,1081
364,Gene,1493
365,Gene,3002
366,Gene,3105
367,Gene,3106
368,Gene,3107
369,Gene,3108
370,Gene,3109
371,Gene,3111
372,Gene,3112
373,Gene,3113
374,Gene,3115
375,Gene,3117
376,Gene,3118
377,Gene,3119
378,Gene,3122
379,Gene,3123
380,Gene,3127
381,Gene,3133
382,Gene,3134
383,Gene,3135
384,Gene,3439
385,Gene,3440
386,Gene,3441
387,Gene,3442
388,Gene,3443
389,Gene,3444
390,Gene,3445
391,Gene,3446
392,Gene,3447
393,Gene,3448
394,Gene,3449
395,Gene,3451
396,Gene,3452
397,Gene,355
398,Gene,3558
399,Gene,356
400,Gene,3565
401,Gene,3567
402,Gene,3586
403,Gene,5551
404,Gene,7038
405,Gene,7173
406,Gene,7252
407,Gene,7253
408,Gene,940
409,Gene,941
410,Gene,942
411,Gene,958
412,Gene,959
413,Gene,19540
414,Gene,100130247
415,Gene,10063
416,Gene,10312
417,Gene,10476
418,Gene,10632
419,Gene,10975
420,Gene,125965
421,Gene,126328
422,Gene,127124
423,Gene,1327
424,Gene,1329
425,Gene,1337
426,Gene,1339
427,Gene,1340
428,Gene,1345
429,Gene,1346
430,Gene,1347
431,Gene,1349
432,Gene,1350
433,Gene,1351
434,Gene,1352
435,Gene,1353
436,Gene,1355
437,Gene,1537
438,Gene,155066
439,Gene,170712
440,Gene,23545
441,Gene,245972
442,Gene,245973
443,Gene,27068
444,Gene,27089
445,Gene,29796
446,Gene,341947
447,Gene,374291
448,Gene,390424
449,Gene,440567
450,Gene,4508
451,Gene,4509
452,Gene,4512
453,Gene,4513
454,Gene,4514
455,Gene,4519
456,Gene,4535
457,Gene,4536
458,Gene,4537
459,Gene,4538
460,Gene,4539
461,Gene,4540
462,Gene,4541
463,Gene,4694
464,Gene,4695
465,Gene,4696
466,Gene,4697
467,Gene,4698
468,Gene,4700
469,Gene,4701
470,Gene,4702
471,Gene,4704
472,Gene,4705
473,Gene,4706
474,Gene,4707
475,Gene,4708
476,Gene,4709
477,Gene,4710
478,Gene,4711
479,Gene,4712
480,Gene,4713
481,Gene,4714
482,Gene,4715
483,Gene,4716
484,Gene,4717
485,Gene,4718
486,Gene,4719
487,Gene,4720
488,Gene,4722
489,Gene,4723
490,Gene,4724
491,Gene,4725
492,Gene,4726
493,Gene,4728
494,Gene,4729
495,Gene,4731
496,Gene,479
497,Gene,495
498,Gene,496
499,Gene,498
500,Gene,506
501,Gene,50617
502,Gene,509
503,Gene,513
504,Gene,51382
505,Gene,514
506,Gene,515
507,Gene,516
508,Gene,51606
509,Gene,517
510,Gene,518
511,Gene,521
512,Gene,522
513,Gene,523
514,Gene,525
515,Gene,526
516,Gene,527
517,Gene,528
518,Gene,529
519,Gene,533
520,Gene,534
521,Gene,535
522,Gene,537
523,Gene,539
524,Gene,5464
525,Gene,56901
526,Gene,6389
527,Gene,6390
528,Gene,6391
529,Gene,6392
530,Gene,64077
531,Gene,644310
532,Gene,7381
533,Gene,7384
534,Gene,7385
535,Gene,7386
536,Gene,7388
537,Gene,84701
538,Gene,8992
539,Gene,90423
540,Gene,9114
541,Gene,9167
542,Gene,9296
543,Gene,9377
544,Gene,9550
545,Gene,9551
546,Gene,3115
547,Gene,10411
548,Gene,107
549,Gene,11261
550,Gene,114
551,Gene,1387
552,Gene,163688
553,Gene,2033
554,Gene,23236
555,Gene,27330
556,Gene,2776
557,Gene,2890
558,Gene,2891
559,Gene,2902
560,Gene,2903
561,Gene,2904
562,Gene,2905
563,Gene,2906
564,Gene,2911
565,Gene,2915
566,Gene,3265
567,Gene,369
568,Gene,3708
569,Gene,3709
570,Gene,3710
571,Gene,3845
572,Gene,4659
573,Gene,468
574,Gene,4893
575,Gene,51806
576,Gene,5330
577,Gene,5331
578,Gene,5332
579,Gene,5499
580,Gene,5500
581,Gene,5501
582,Gene,5502
583,Gene,5530
584,Gene,5532
585,Gene,5533
586,Gene,5534
587,Gene,5535
588,Gene,5566
589,Gene,5567
590,Gene,5568
591,Gene,5578
592,Gene,5579
593,Gene,5582
594,Gene,5594
595,Gene,5595
596,Gene,5604
597,Gene,5605
598,Gene,5613
599,Gene,5894
600,Gene,5906
601,Gene,5908
602,Gene,6195
603,Gene,6196
604,Gene,6197
605,Gene,63928
606,Gene,673
607,Gene,775
608,Gene,801
609,Gene,805
610,Gene,808
611,Gene,810
612,Gene,814
613,Gene,815
614,Gene,816
615,Gene,817
616,Gene,818
617,Gene,16024
618,Gene,100130247
619,Gene,102
620,Gene,1020
621,Gene,10476
622,Gene,10975
623,Gene,11261
624,Gene,125965
625,Gene,1327
626,Gene,1329
627,Gene,1337
628,Gene,1339
629,Gene,1340
630,Gene,1345
631,Gene,1346
632,Gene,1347
633,Gene,1349
634,Gene,1350
635,Gene,1351
636,Gene,1537
637,Gene,163688
638,Gene,170712
639,Gene,2081
640,Gene,22926
641,Gene,23236
642,Gene,23385
643,Gene,23621
644,Gene,25825
645,Gene,2597
646,Gene,27089
647,Gene,2776
648,Gene,2902
649,Gene,2903
650,Gene,2904
651,Gene,2905
652,Gene,2906
653,Gene,2932
654,Gene,29796
655,Gene,3028
656,Gene,317
657,Gene,322
658,Gene,3416
659,Gene,341947
660,Gene,348
661,Gene,351
662,Gene,355
663,Gene,3553
664,Gene,3708
665,Gene,3709
666,Gene,3710
667,Gene,374291
668,Gene,390424
669,Gene,4023
670,Gene,4035
671,Gene,4137
672,Gene,4311
673,Gene,440567
674,Gene,4508
675,Gene,4509
676,Gene,4512
677,Gene,4513
678,Gene,4514
679,Gene,4519
680,Gene,4694
681,Gene,4695
682,Gene,4696
683,Gene,4697
684,Gene,4698
685,Gene,4700
686,Gene,4701
687,Gene,4702
688,Gene,4704
689,Gene,4705
690,Gene,4706
691,Gene,4707
692,Gene,4708
693,Gene,4709
694,Gene,4710
695,Gene,4711
696,Gene,4712
697,Gene,4713
698,Gene,4714
699,Gene,4715
700,Gene,4716
701,Gene,4717
702,Gene,4718
703,Gene,4719
704,Gene,4720
705,Gene,4722
706,Gene,4723
707,Gene,4724
708,Gene,4725
709,Gene,4726
710,Gene,4728
711,Gene,4729
712,Gene,4731
713,Gene,4842
714,Gene,487
715,Gene,488
716,Gene,489
717,Gene,498
718,Gene,506
719,Gene,509
720,Gene,51107
721,Gene,513
722,Gene,514
723,Gene,515
724,Gene,516
725,Gene,517
726,Gene,518
727,Gene,51806
728,Gene,522
729,Gene,5330
730,Gene,5331
731,Gene,5332
732,Gene,539
733,Gene,54205
734,Gene,5530
735,Gene,5532
736,Gene,5533
737,Gene,5534
738,Gene,5535
739,Gene,55851
740,Gene,5594
741,Gene,5595
742,Gene,5663
743,Gene,5664
744,Gene,56901
745,Gene,572
746,Gene,6263
747,Gene,637
748,Gene,6389
749,Gene,6390
750,Gene,6391
751,Gene,6392
752,Gene,63928
753,Gene,644310
754,Gene,6622
755,Gene,6868
756,Gene,7124
757,Gene,7132
758,Gene,7381
759,Gene,7384
760,Gene,7385
761,Gene,7386
